# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	8034	8261	-	LOPNJJ_00055	trbK	entry exclusion lipoprotein TrbK	RefSeq:WP_011222085.1, SO:0001217, UniParc:UPI00004539C4, UniRef:UniRef100_Q5W3J3, UniRef:UniRef50_Q936Y5, UniRef:UniRef90_P71186
contig_1	cds	8271	9035	-	LOPNJJ_00060	trbJ	P-type conjugative transfer protein TrbJ	KEGG:K20266, RefSeq:WP_011222084.1, SO:0001217, UniParc:UPI00004539C3, UniRef:UniRef100_Q5W3J4, UniRef:UniRef50_A0A1W6T9F5, UniRef:UniRef90_A0A899NAJ3
contig_1	cds	9056	10477	-	LOPNJJ_00065	trbI	TrbI	RefSeq:WP_000138182.1, SO:0001217, UniParc:UPI00004539C2, UniRef:UniRef100_G9FA09, UniRef:UniRef50_A0A139SR26, UniRef:UniRef90_A0A8D6MPZ5
contig_1	cds	10482	10970	-	LOPNJJ_00070	trbH	Conjugal transfer protein TrbH	RefSeq:WP_031943234.1, SO:0001217, UniParc:UPI000292D0FC, UniRef:UniRef100_Q5W3J6, UniRef:UniRef50_A0A899NFG8, UniRef:UniRef90_A0A899NFG8
contig_1	cds	10973	11872	-	LOPNJJ_00075	trbG	P-type conjugative transfer protein TrbG	RefSeq:WP_011222082.1, SO:0001217, UniParc:UPI00004539C0, UniRef:UniRef100_Q5W3J7, UniRef:UniRef50_A0A1E7WBX0, UniRef:UniRef90_P71182
contig_1	cds	11890	12672	-	LOPNJJ_00080	virB8	VirB8 domain-containing protein	RefSeq:WP_011222081.1, SO:0001217, UniParc:UPI00004539BF, UniRef:UniRef100_Q5W3J8, UniRef:UniRef50_A0A899NDA0, UniRef:UniRef90_A0A899NDA0
contig_1	cds	12669	15227	-	LOPNJJ_00085	virB4	Type IV secretory pathway, VirB4 component	COG:COG3451, COG:U, RefSeq:WP_011222080.1, SO:0001217, UniParc:UPI00004539BE, UniRef:UniRef100_Q5W3J9, UniRef:UniRef50_G9EPD8, UniRef:UniRef90_Q4AC51
contig_1	cds	15224	15535	-	LOPNJJ_00090	trbD	Type IV secretory pathway, TrbD component	COG:COG5268, COG:U, RefSeq:WP_001207961.1, SO:0001217, UniParc:UPI00000BE23C, UniRef:UniRef100_A0A899NCN3, UniRef:UniRef50_C7RW42, UniRef:UniRef90_A0A899NCN3
contig_1	cds	15539	16003	-	LOPNJJ_00095	trbC	conjugal transfer system pilin TrbC	RefSeq:WP_011222079.1, SO:0001217, UniParc:UPI00004539BD, UniRef:UniRef100_Q5W3K1, UniRef:UniRef50_A0A899ND68, UniRef:UniRef90_Q6UP62
contig_1	cds	16017	16982	-	LOPNJJ_00100	trbB	P-type conjugative transfer ATPase TrbB	RefSeq:WP_011222078.1, SO:0001217, UniParc:UPI00004539BC, UniRef:UniRef100_Q5W3K2, UniRef:UniRef50_A0A8H9D9N6, UniRef:UniRef90_A0A7T2VWB6
contig_1	cds	17290	17652	-	LOPNJJ_00105	trfB	TrfB transcriptional repressor protein	RefSeq:WP_011222077.1, SO:0001217, UniParc:UPI00004539BB, UniRef:UniRef100_Q5W3K3, UniRef:UniRef50_C7RW45, UniRef:UniRef90_A0A899NCE4
contig_1	cds	17766	18107	+	LOPNJJ_00110	ssb	Single-stranded DNA-binding protein	RefSeq:WP_000019167.1, SO:0001217, UniParc:UPI00000BC516, UniRef:UniRef100_Q6UP65, UniRef:UniRef50_A0A899NHR2, UniRef:UniRef90_A0A899NHR2
contig_1	cds	18155	19375	+	LOPNJJ_00115	trfA	Plasmid replication initiator protein TrfA	RefSeq:WP_011222076.1, SO:0001217, UniParc:UPI00004539BA, UniRef:UniRef100_Q5W3K5, UniRef:UniRef50_Q8RSK0, UniRef:UniRef90_A0A899NBG1
contig_1	cds	19376	19570	-	LOPNJJ_00120		hypothetical protein	
contig_1	oriV	19614	20866	?			origin of replication	
contig_1	cds	20867	21295	+	LOPNJJ_00125	klcA	Antirestriction protein KlcA	RefSeq:WP_001095942.1, SO:0001217, UniParc:UPI0000000D98, UniRef:UniRef100_P52602, UniRef:UniRef50_P52602, UniRef:UniRef90_P52602
contig_1	cds	21347	22555	+	LOPNJJ_00130	klcB	Protein KlcB	GO:0003677, RefSeq:WP_011222112.1, SO:0001217, UniParc:UPI00004539E0, UniRef:UniRef100_Q5W3E8, UniRef:UniRef50_P52604, UniRef:UniRef90_P52604
contig_1	cds	22572	22829	+	LOPNJJ_00135	korC	transcriptional repressor KorC	BlastRules:WP_010890115, BlastRules:WP_011205775, GO:0003677, RefSeq:WP_011222111.1, SO:0001217, UniParc:UPI00004539DF, UniRef:UniRef100_Q5W3E9, UniRef:UniRef50_Q52331, UniRef:UniRef90_Q52277
contig_1	cds	22987	23223	+	LOPNJJ_00140	kleA	Protein KleA	RefSeq:WP_011222110.1, SO:0001217, UniParc:UPI00004539DE, UniRef:UniRef100_Q5W3F0, UniRef:UniRef50_Q52278, UniRef:UniRef90_Q52278
contig_1	cds	23282	23497	+	LOPNJJ_00145	kleB	Protein KleB	GO:0003677, RefSeq:WP_011222109.1, SO:0001217, UniParc:UPI00004539DD, UniRef:UniRef100_Q5W3F1, UniRef:UniRef50_Q52279, UniRef:UniRef90_Q52279
contig_1	cds	23642	23971	+	LOPNJJ_00150	kleE	Protein KleE	GO:0005886, RefSeq:WP_087866456.1, SO:0001217, UniParc:UPI000B40C50E, UniRef:UniRef100_Q5W3F2, UniRef:UniRef50_Q52280, UniRef:UniRef90_Q52280
contig_1	cds	23973	24503	+	LOPNJJ_00155	kleF	Protein KleF	RefSeq:WP_011222107.1, SO:0001217, UniParc:UPI00004539DB, UniRef:UniRef100_Q5W3F3, UniRef:UniRef50_Q52281, UniRef:UniRef90_Q52281
contig_1	cds	24608	24919	+	LOPNJJ_00160	trfB	TrfB transcriptional repressor protein	GO:0003677, SO:0001217, UniParc:UPI00030ED1F1, UniRef:UniRef100_A0A899NEE9, UniRef:UniRef50_Q57423, UniRef:UniRef90_Q57423
contig_1	cds	24916	25680	+	LOPNJJ_00165	incC	Protein IncC	GO:0006260, KEGG:K03496, RefSeq:WP_011222106.1, SO:0001217, UniParc:UPI00004539D9, UniRef:UniRef100_Q5W3F6, UniRef:UniRef50_P07673, UniRef:UniRef90_Q52312
contig_1	cds	25677	26726	+	LOPNJJ_00170	korB	Transcriptional repressor protein KorB	GO:0003677, GO:0045892, RefSeq:WP_011114060.1, SO:0001217, UniParc:UPI00001A96A4, UniRef:UniRef100_Q6UPB6, UniRef:UniRef50_P07674, UniRef:UniRef90_Q52313
contig_1	cds	26905	27936	+	LOPNJJ_00175		KfrA-N domain-containing protein	RefSeq:WP_011222104.1, SO:0001217, UniParc:UPI00004539D7, UniRef:UniRef100_Q5W3F8, UniRef:UniRef50_Q8RSN5, UniRef:UniRef90_A0A8D6MH34
contig_1	cds	28108	28455	+	LOPNJJ_00180	kfrB	KfrB domain-containing protein	RefSeq:WP_000664557.1, SO:0001217, UniParc:UPI00000B35EF, UniRef:UniRef100_A0A192XEJ4, UniRef:UniRef50_A0A4R6DUM4, UniRef:UniRef90_A0A318SDR2
contig_1	cds	28484	29137	+	LOPNJJ_00185	traN	TraN	RefSeq:WP_087864990.1, SO:0001217, UniParc:UPI000B420FDF, UniRef:UniRef100_UPI000B420FDF, UniRef:UniRef50_A0A0K6IC25, UniRef:UniRef90_A0A0K6IC25
contig_1	cds	29340	29780	-	LOPNJJ_00190	traM	Protein TraM	GO:0009372, RefSeq:WP_000718516.1, SO:0001217, UniParc:UPI0000000D9D, UniRef:UniRef100_P71198, UniRef:UniRef50_Q00186, UniRef:UniRef90_P71198
contig_1	cds	29780	30505	-	LOPNJJ_00195	traL	Protein TraL	RefSeq:WP_001062597.1, SO:0001217, UniParc:UPI00000BB688, UniRef:UniRef100_A0A192XFY8, UniRef:UniRef50_Q00187, UniRef:UniRef90_Q00187
contig_1	cds	30505	30903	-	LOPNJJ_00200	traK	Protein TraK	RefSeq:WP_001127128.1, SO:0001217, UniParc:UPI0000000D9E, UniRef:UniRef100_P17908, UniRef:UniRef50_P17910, UniRef:UniRef90_P17908
contig_1	oriT	30904	31277	?			origin of transfer	
contig_1	ncRNA-region	31138	31242	+			traJ-II RNA	RFAM:RF01760, SO:0005836
contig_1	cds	31278	31652	+	LOPNJJ_00205	traJ	conjugal transfer transcriptional regulator TraJ	GO:0005737, RefSeq:WP_011222102.1, SO:0001217, UniParc:UPI00004539D5, UniRef:UniRef100_Q5W3G4, UniRef:UniRef50_P17909, UniRef:UniRef90_P17907
contig_1	cds	31687	33927	+	LOPNJJ_00210	traI	Protein TraI	RefSeq:WP_011222100.1, SO:0001217, UniParc:UPI00004539D3, UniRef:UniRef100_Q5W3G6, UniRef:UniRef50_Q00192, UniRef:UniRef90_Q00192
contig_1	cds	33924	35837	+	LOPNJJ_00215	traG	Conjugal transfer protein TraG	COG:COG3505, COG:U, EC:7.4.2.8, GO:0003677, GO:0005886, KEGG:K03205, RefSeq:WP_011222099.1, SO:0001217, UniParc:UPI00004539D2, UniRef:UniRef100_Q5W3G7, UniRef:UniRef50_Q00184, UniRef:UniRef90_Q00184
contig_1	cds	35834	36370	+	LOPNJJ_00220	traF	conjugative transfer signal peptidase TraF	GO:0004252, GO:0006465, GO:0042597, RefSeq:WP_011222098.1, SO:0001217, UniParc:UPI00004539D1, UniRef:UniRef100_Q5W3G8, UniRef:UniRef50_Q03450, UniRef:UniRef90_Q05119
contig_1	cds	36383	38446	+	LOPNJJ_00225	topB	DNA topoisomerase IA	COG:COG0550, COG:L, EC:5.6.2.1, KEGG:K03169, RefSeq:WP_011222097.1, SO:0001217, UniParc:UPI00004539D0, UniRef:UniRef100_Q5W3G9, UniRef:UniRef50_A0A899NHM9, UniRef:UniRef90_G9C9X7
contig_1	cds	38468	38857	+	LOPNJJ_00230	traD	Protein TraD	RefSeq:WP_006122510.1, SO:0001217, UniParc:UPI0000000DA1, UniRef:UniRef100_P27192, UniRef:UniRef50_P27192, UniRef:UniRef90_P27192
contig_1	cds	38861	43207	+	LOPNJJ_00235	traC	DNA primase TraC	EC:2.7.7.-, GO:0000428, GO:0003697, GO:0006260, GO:0016779, RefSeq:WP_011222096.1, SO:0001217, UniParc:UPI00004539CF, UniRef:UniRef100_Q5W3H1, UniRef:UniRef50_P27190, UniRef:UniRef90_P27190
contig_1	cds	43590	45167	-	LOPNJJ_00240		Aerotaxis receptor	RefSeq:WP_001323889.1, SO:0001217, UniParc:UPI00000B824D, UniRef:UniRef100_Q56321, UniRef:UniRef50_Q56321, UniRef:UniRef90_Q56321
contig_1	cds	45477	46037	+	LOPNJJ_00245	tnpR	TnpR	RefSeq:WP_033958617.1, SO:0001217, UniParc:UPI0001CBD32F, UniRef:UniRef100_A0A6L5I1A0, UniRef:UniRef50_P04130, UniRef:UniRef90_F8T8V3
contig_1	cds	46041	49007	+	LOPNJJ_00250	tnpA	Tn3 family transposase	GO:0003677, GO:0004803, GO:0006313, RefSeq:WP_068979434.1, SO:0001217, UniParc:UPI00083B93F1, UniRef:UniRef100_A0A6S4VPW0, UniRef:UniRef50_P13694, UniRef:UniRef90_P51565
contig_1	cds	49004	49348	-	LOPNJJ_00255		hypothetical protein	
contig_1	cds	49422	50186	-	LOPNJJ_00260	tnp	IS6-like element IS6100 family transposase	BlastRules:WP_001389365, RefSeq:WP_001389365.1, SO:0001217, UniParc:UPI00000BF4A2, UniRef:UniRef100_Q50HM3, UniRef:UniRef50_Q50HM3, UniRef:UniRef90_Q50HM3
contig_1	cds	50573	50710	+	LOPNJJ_00265		hypothetical protein	RefSeq:WP_000451483.1, SO:0001217, UniParc:UPI0001C4375A, UniRef:UniRef100_Q6I6D1, UniRef:UniRef50_Q6I6D1, UniRef:UniRef90_Q6I6D1
contig_1	cds	50693	51124	-	LOPNJJ_00270	yhbS	putative N-acetyltransferase YhbS	COG:COG3153, COG:R, SO:0001217, UniRef:UniRef50_A0A6M4NPN8, UniRef:UniRef90_A0A6M4NPN8
contig_1	cds	51323	52162	-	LOPNJJ_00275	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	COG:COG0294, COG:H, EC:2.5.1.15, GO:0004156, GO:0046654, GO:0046656, GO:0046872, KEGG:K18974, NCBIProtein:WP_000259031.1, RefSeq:WP_000259031.1, SO:0001217, UniParc:UPI000000029B, UniRef:UniRef100_P0C002, UniRef:UniRef50_P0C002, UniRef:UniRef90_P0C002
contig_1	cds	52156	52503	-	LOPNJJ_00280	qacEdelta1	quaternary ammonium compound efflux SMR transporter QacE delta 1	GO:0005886, GO:0022857, GO:0042221, NCBIProtein:WP_000679427.1, RefSeq:WP_000679427.1, SO:0001217, UniParc:UPI0000000BEC, UniRef:UniRef100_P0AA22, UniRef:UniRef50_P0AA22, UniRef:UniRef90_P0AA22
contig_1	cds	52667	53446	-	LOPNJJ_00285	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1	EC:2.7.7.47, KEGG:K00984, NCBIProtein:WP_001206317.1, RefSeq:WP_001535723.1, SO:0001217, UniParc:UPI00004CF3E7, UniRef:UniRef100_Q5DUC3, UniRef:UniRef50_P0AG05, UniRef:UniRef90_Q5DUC3
contig_1	cds	53495	54322	-	LOPNJJ_00290	blaOXA-2	oxacillin-hydrolyzing class D beta-lactamase OXA-2	COG:COG2602, COG:V, EC:3.5.2.6, GO:0008658, GO:0008800, GO:0017001, GO:0046677, KEGG:K18791, NCBIProtein:WP_001007673.1, RefSeq:WP_001007673.1, SO:0001217, UniParc:UPI0000000BD0, UniRef:UniRef100_P0A1V9, UniRef:UniRef50_O84955, UniRef:UniRef90_P0A1V9
contig_1	cds	54404	55030	-	LOPNJJ_00295	aac(6')-Ib	AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase	COG:COG1670, COG:JO, NCBIProtein:WP_003159191.1, SO:0001217, UniParc:UPI0002A17C21, UniRef:UniRef100_A0A6C0L5A9, UniRef:UniRef50_Q849Y4, UniRef:UniRef90_A0A6S4VSJ2
contig_1	cds	55236	56036	-	LOPNJJ_00300	blaVIM-4	subclass B1 metallo-beta-lactamase VIM-4	NCBIProtein:WP_032492008.1, RefSeq:WP_032492008.1, SO:0001217, UniParc:UPI00000BF10B, UniRef:UniRef100_A0A0G3AY79, UniRef:UniRef50_I6ZVA9, UniRef:UniRef90_A0A451F5F8
contig_1	ncRNA-region	56047	56113	-			putative aminoglycoside riboswitch / attI site	RFAM:RF02912, SO:0000035
contig_1	cds	56206	57165	+	LOPNJJ_00305	xerD	integron integrase	COG:COG4974, COG:L, SO:0001217, UniParc:UPI0000674A42, UniRef:UniRef100_A0A6M4NPY4, UniRef:UniRef50_A0A257FG49, UniRef:UniRef90_A0A2P9E760
contig_1	cds	57056	57760	-	LOPNJJ_00310	tnp	IS6 family IS15DIV transposase	COG:COG3316, COG:X, IS:IS15DIV, RefSeq:WP_001067855.1, SO:0001217, UniParc:UPI0000003DD8, UniRef:UniRef100_A0A6H1PZP7, UniRef:UniRef50_A0A0J3XVZ3, UniRef:UniRef90_A0A0J3XVZ3
contig_1	cds	57844	58728	-	LOPNJJ_00315	mph(E)	Mph(E) family macrolide 2'-phosphotransferase	COG:COG3173, COG:R, NCBIProtein:WP_000155092.1, SO:0001217, UniRef:UniRef50_Q17U37, UniRef:UniRef90_A0A7X2KUA5
contig_1	cds	58784	60259	-	LOPNJJ_00320	msr(E)	ABC-F type ribosomal protection protein Msr(E)	BlastRules:WP_000052512, COG:COG0488, COG:R, NCBIProtein:WP_000052512.1, RefSeq:WP_000052512.1, SO:0001217, UniParc:UPI00000BFEBC, UniRef:UniRef100_Q17U38, UniRef:UniRef50_Q17U38, UniRef:UniRef90_Q17U38
contig_1	cds	60346	61050	-	LOPNJJ_00325	tnp	IS6 family IS15DIV transposase	COG:COG3316, COG:X, IS:IS15DIV, RefSeq:WP_001067855.1, SO:0001217, UniParc:UPI0000003DD8, UniRef:UniRef100_A0A6H1PZP7, UniRef:UniRef50_A0A0J3XVZ3, UniRef:UniRef90_A0A0J3XVZ3
contig_1	cds	61062	61232	-	LOPNJJ_00330		hypothetical protein	SO:0001217, UniParc:UPI000A7058CD, UniRef:UniRef100_A0A482MA69, UniRef:UniRef50_A0A482MA69, UniRef:UniRef90_A0A482MA69
