#Annotated with Bakta (v1.4.2): https://github.com/oschwengers/bakta
#Database (v3.1): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	14267	14758	-	CJHFKP_00100	arr	NAD(+)--rifampin ADP-ribosyltransferase Arr-2	NCBIProtein:WP_000237816.1, SO:0001217, UniParc:UPI000069767F, UniRef:UniRef100_A0A482F223, UniRef:UniRef50_A0A1C0AL71, UniRef:UniRef90_A0A059WMU4
contig_1	cds	14804	15316	-	CJHFKP_00105	ant(2'')-Ia	aminoglycoside nucleotidyltransferase ANT(2'')-Ia	EC:2.7.7.46, GO:0008871, GO:0046677, GO:0046872, NCBIProtein:WP_000381802.1, SO:0001217, UniRef:UniRef50_P29806, UniRef:UniRef90_P29806
contig_1	cds	15482	16381	-	CJHFKP_00110	blaVEB-1	extended-spectrum class A beta-lactamase VEB-1	NCBIProtein:WP_000706731.1, RefSeq:WP_000706731.1, SO:0001217, UniParc:UPI00000B568C, UniRef:UniRef100_Q7BVU7, UniRef:UniRef50_Q7BVU7, UniRef:UniRef90_Q7BVU7
contig_1	ncRNA	16496	16564	-	CJHFKP_00115	RNA-OUT	RNA-OUT	RFAM:RF00240, SO:0000655
contig_1	cds	16515	17765	+	CJHFKP_00120		IS4-like element IS10A family transposase	SO:0001217, UniParc:UPI000052AB04, UniRef:UniRef100_A0A482KCY7, UniRef:UniRef50_Q53371, UniRef:UniRef90_A0A6C0VTA8
contig_1	cds	17775	18281	-	CJHFKP_00125	tnp-IS6	IS6 family transposase	COG:COG3316, COG:X, SO:0001217, UniRef:UniRef50_A0A0E2G7D5, UniRef:UniRef90_A0A3G4RJE8
contig_1	cds	18310	18480	-	CJHFKP_00130		hypothetical protein	
contig_1	cds	18729	18821	+	CJHFKP_00135		hypothetical protein	
contig_1	cds	18861	19721	-	CJHFKP_00140	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	EC:3.5.2.6, GO:0008800, GO:0030655, GO:0046677, NCBIProtein:WP_000027057.1, RefSeq:WP_000027057.1, SO:0001217, UniParc:UPI00000000E4, UniRef:UniRef100_P62593, UniRef:UniRef50_P62593, UniRef:UniRef90_P62593
contig_1	cds	20286	21002	+	CJHFKP_00145		IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001317540.1, SO:0001217, UniParc:UPI00001B29E2, UniRef:UniRef100_A0A6H1PZP7, UniRef:UniRef50_S6DCX2, UniRef:UniRef90_A0A6H1PZP7
contig_1	cds	21008	21343	+	CJHFKP_00150		Aldehyde dehydrogenase	SO:0001217, UniRef:UniRef50_A0A385AHV4, UniRef:UniRef90_A0A385AHV4
contig_1	cds	21433	21783	-	CJHFKP_00155	tnpM	Transposon Tn21 modulator protein	RefSeq:WP_000454193.1, SO:0001217, UniParc:UPI0000000F42, UniRef:UniRef100_P04162, UniRef:UniRef50_P04162, UniRef:UniRef90_P04162
contig_1	cds	21986	22942	-	CJHFKP_00160	intI1	class 1 integron integrase IntI1	COG:COG4974, COG:L, SO:0001217, UniParc:UPI00020C29C1, UniRef:UniRef100_A0A3G2CDC5, UniRef:UniRef50_P62590, UniRef:UniRef90_B7JCH8
contig_1	cds	23070	23969	+	CJHFKP_00165	blaVIM	subclass B1 metallo-beta-lactamase VIM-78	NCBIProtein:WP_142836723.1, SO:0001217, UniRef:UniRef50_I6ZVA9, UniRef:UniRef90_A0A451F5F8
contig_1	ncRNA-region	23092	23158	+			putative aminoglycoside riboswitch / attI site	RFAM:RF02912, SO:0000035
contig_1	cds	24221	24397	-	CJHFKP_00170		hypothetical protein	SO:0001217, UniParc:UPI00042F3BAB, UniRef:UniRef100_A0A7D5KIK8, UniRef:UniRef50_A0A7D5KIK8, UniRef:UniRef90_A0A7D5KIK8
contig_1	cds	24415	25341	+	CJHFKP_00175	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	EC:2.5.1.15, GO:0004156, GO:0046654, GO:0046656, GO:0046872, NCBIProtein:WP_000259031.1, SO:0001217, UniParc:UPI000068875B, UniRef:UniRef100_B1VCG2, UniRef:UniRef50_P0C002, UniRef:UniRef90_P0C002
contig_1	cds	25843	26079	+	CJHFKP_00180		hypothetical protein	
contig_1	cds	26055	27287	+	CJHFKP_00185	rPS27A	Zn-Tnp-IS91 domain-containing protein	COG:COG2051, COG:J, SO:0001217, UniParc:UPI0000F34CFC, UniRef:UniRef100_A0A3P6X0Y3, UniRef:UniRef50_W8CTS8, UniRef:UniRef90_W8CTS8
contig_1	cds	27551	28207	+	CJHFKP_00190	qnrA1	quinolone resistance pentapeptide repeat protein QnrA1	COG:COG1357, COG:S, NCBIProtein:WP_012579084.1, RefSeq:WP_012579084.1, SO:0001217, UniParc:UPI00000B371A, UniRef:UniRef100_Q83U40, UniRef:UniRef50_Q87K03, UniRef:UniRef90_Q83U40
contig_1	cds	28324	28584	-	CJHFKP_00195		hypothetical protein	
contig_1	cds	28688	28870	+	CJHFKP_00200		hypothetical protein	
contig_1	cds	29038	29268	+	CJHFKP_00205	lysR	AmpR	COG:COG0583, COG:K, SO:0001217, UniParc:UPI00079A909C, UniRef:UniRef100_Q83TX2, UniRef:UniRef50_P24734, UniRef:UniRef90_Q83TX2
contig_1	cds	29272	29754	-	CJHFKP_00210		Hydrogenase maturation factor HypA	RefSeq:WP_015613268.1, SO:0001217, UniParc:UPI000328A861, UniRef:UniRef100_A0A0U3J261, UniRef:UniRef50_P0A703, UniRef:UniRef90_A0A0U3J261
contig_1	cds	29772	30698	+	CJHFKP_00215	sul1	sulfonamide-resistant dihydropteroate synthase Sul1	EC:2.5.1.15, GO:0004156, GO:0046654, GO:0046656, GO:0046872, NCBIProtein:WP_000259031.1, SO:0001217, UniParc:UPI000068875B, UniRef:UniRef100_B1VCG2, UniRef:UniRef50_P0C002, UniRef:UniRef90_P0C002
contig_1	cds	30826	31326	+	CJHFKP_00220	yhbS	N-acetyltransferase	COG:COG3153, COG:R, SO:0001217, UniRef:UniRef50_A0A142BVN8, UniRef:UniRef90_A0A854QMF3
contig_1	cds	31295	32287	-	CJHFKP_00225		AAA family ATPase	RefSeq:WP_001381192.1, SO:0001217, UniParc:UPI000049F142, UniRef:UniRef100_A0A0B1M6S0, UniRef:UniRef50_A0A143QFU6, UniRef:UniRef90_A0A0B1M6S0
contig_1	cds	32290	33753	-	CJHFKP_00230		DDE-type integrase/transposase/recombinase	SO:0001217, UniRef:UniRef50_K1JAR7, UniRef:UniRef90_A0A075MF25
contig_1	cds	33766	34158	+	CJHFKP_00235		hypothetical protein	
contig_1	cds	34242	34415	+	CJHFKP_00240		Chromate resistance protein ChrB	RefSeq:WP_197086636.1, SO:0001217, UniParc:UPI000659A8C2, UniRef:UniRef100_A0A290FYX4, UniRef:UniRef50_A0A290FYX4, UniRef:UniRef90_A0A290FYX4
contig_1	cds	35028	36002	-	CJHFKP_00245	tnp-IS1182	IS1182 family transposase	SO:0001217, UniParc:UPI00016C1968, UniRef:UniRef100_F1CNH9, UniRef:UniRef50_A0A2V5AII1, UniRef:UniRef90_A0A2N1WP24
contig_1	cds	36049	36399	-	CJHFKP_00250		ISCfr1 truncated transposase TnpA	SO:0001217, UniParc:UPI00016C1969, UniRef:UniRef100_G3F9R4, UniRef:UniRef50_A0A6N3IM35, UniRef:UniRef90_G3F9R4
contig_1	cds	36514	37671	-	CJHFKP_00255		DUF3883 domain-containing protein	RefSeq:WP_001330847.1, SO:0001217, UniParc:UPI0001FB4526, UniRef:UniRef100_A0A6F8QKQ8, UniRef:UniRef50_C5CL21, UniRef:UniRef90_A0A2P9EH77
contig_1	cds	37701	37946	-	CJHFKP_00260		hypothetical protein	SO:0001217, UniParc:UPI0001FB4525, UniRef:UniRef100_A0A0K2YSX9, UniRef:UniRef50_A0A0K2YSX9, UniRef:UniRef90_A0A0K2YSX9
contig_1	tRNA	38461	38531	+	CJHFKP_00265	Thr_trna	(pseudo) tRNA-Thr	SO:0000270
contig_1	cds	38625	39167	-	CJHFKP_00270		AAA family ATPase	RefSeq:WP_000587837.1, SO:0001217, UniParc:UPI00000BFEB6, UniRef:UniRef100_F1CNI2, UniRef:UniRef50_Q6SJ67, UniRef:UniRef90_Q6SJ67
contig_1	cds	39180	40040	-	CJHFKP_00275	aac(3)-IId	aminoglycoside N-acetyltransferase AAC(3)-IId	NCBIProtein:WP_000557454.1, RefSeq:WP_000557454.1, SO:0001217, UniParc:UPI00000BFEB7, UniRef:UniRef100_A7LI78, UniRef:UniRef90_P0A256
contig_1	cds	40079	40243	+	CJHFKP_00280		hypothetical protein	
contig_1	ncRNA	40121	40190	-	CJHFKP_00285	RNA-OUT	RNA-OUT	RFAM:RF00240, SO:0000655
contig_1	cds	40283	40378	+	CJHFKP_00290		hypothetical protein	
contig_1	cds	40424	40612	+	CJHFKP_00295		hypothetical protein	
contig_1	cds	40678	41151	+	CJHFKP_00300		transposase	SO:0001217, UniRef:UniRef50_A0A812FEA4, UniRef:UniRef90_UPI001412FB8B
contig_1	cds	41151	41315	+	CJHFKP_00305		Lipopolysaccharide core heptose(II) kinase RfaY	SO:0001217, UniParc:UPI0002A85E5B, UniRef:UniRef100_A0A2H4WWK9, UniRef:UniRef50_A0A198FHS4, UniRef:UniRef90_A0A2H4WWK9
contig_1	ncRNA	41193	41262	-	CJHFKP_00310	RNA-OUT	RNA-OUT	RFAM:RF00240, SO:0000655
contig_1	cds	41355	41450	+	CJHFKP_00315		hypothetical protein	
contig_1	cds	41496	41684	+	CJHFKP_00320		hypothetical protein	
contig_1	cds	41750	42463	+	CJHFKP_00325		Transposase	SO:0001217, UniRef:UniRef50_A0A6J4D0S4, UniRef:UniRef90_B7L3U2
contig_1	cds	42525	43001	-	CJHFKP_00330		TnpR resolvase	RefSeq:WP_028697649.1, SO:0001217, UniParc:UPI00048CB0E7, UniRef:UniRef100_A0A372HYS7, UniRef:UniRef50_A0A0P9ZY56, UniRef:UniRef90_D3VWY3
contig_1	cds	43108	43947	-	CJHFKP_00335	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	COG:COG3570, COG:V, NCBIProtein:WP_000480968.1, SO:0001217, UniParc:UPI0003E35420, UniRef:UniRef100_V5KBE1, UniRef:UniRef50_A0A250MFS9, UniRef:UniRef90_V5KBE1
contig_1	cds	43944	44747	-	CJHFKP_00340	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	COG:COG3231, COG:J, NCBIProtein:WP_001082319.1, SO:0001217, UniRef:UniRef50_Q8GJ11, UniRef:UniRef90_Q8GJ11
contig_1	cds	44808	45338	-	CJHFKP_00345	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	NCBIProtein:WP_001043260.1, SO:0001217, UniRef:UniRef50_A0A127STD0, UniRef:UniRef90_A0A486S4A0
contig_1	cds	45360	45656	+	CJHFKP_00350		hypothetical protein	
contig_1	cds	45632	45814	-	CJHFKP_00355		hypothetical protein	RefSeq:WP_001322699.1, SO:0001217, UniParc:UPI0000E8AFCC, UniRef:UniRef100_E1JF77, UniRef:UniRef50_D0CEY8, UniRef:UniRef90_D0CEY8
contig_1	cds	45931	46782	-	CJHFKP_00360		Plasmid replication protein C	RefSeq:WP_000240536.1, SO:0001217, UniParc:UPI00000D1396, UniRef:UniRef100_V5KBS4, UniRef:UniRef50_S4VGY6, UniRef:UniRef90_V5KBS4
contig_1	cds	46769	47476	-	CJHFKP_00365	repA	Regulatory protein RepA	GO:0005524, GO:0006276, RefSeq:WP_000880559.1, SO:0001217, UniParc:UPI00005051F7, UniRef:UniRef100_P20356, UniRef:UniRef50_P20356, UniRef:UniRef90_P20356
contig_1	cds	47538	48254	-	CJHFKP_00370		IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001317540.1, SO:0001217, UniParc:UPI00001B29E2, UniRef:UniRef100_A0A6H1PZP7, UniRef:UniRef50_S6DCX2, UniRef:UniRef90_A0A6H1PZP7
contig_1	cds	48519	49208	+	CJHFKP_00375	aph(3')-Ia	aminoglycoside O-phosphotransferase APH(3')-Ia	COG:COG3231, COG:J, NCBIProtein:WP_063842098.1, SO:0001217, UniRef:UniRef50_P00551, UniRef:UniRef90_H3JSZ1
contig_1	cds	49398	50114	-	CJHFKP_00380		IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001317540.1, SO:0001217, UniParc:UPI00001B29E2, UniRef:UniRef100_A0A6H1PZP7, UniRef:UniRef50_S6DCX2, UniRef:UniRef90_A0A6H1PZP7
contig_1	cds	50679	51539	+	CJHFKP_00385	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	EC:3.5.2.6, GO:0008800, GO:0030655, GO:0046677, NCBIProtein:WP_000027057.1, RefSeq:WP_000027057.1, SO:0001217, UniParc:UPI00000000E4, UniRef:UniRef100_P62593, UniRef:UniRef50_P62593, UniRef:UniRef90_P62593
