sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
assembly	chromosome			3 length=287844 depth=1.40x	287844	0.40334695182112534	ac8abbdeef3cbeae3622258c034f1921	01400	CP016586.1	23s-rRNA	23S	3027	659	3026	226645	229012						
assembly	chromosome			3 length=287844 depth=1.40x	287844	0.40334695182112534	ac8abbdeef3cbeae3622258c034f1921	01315	CP022426	ISStma11	ISL3	4426	9	4390	281827	286235						
assembly	chromosome			9 length=1768 depth=1.52x	1768	0.5096153846153846	6a071a0cdfbe42e4947fd862ace52bb1	01399	CP016586.1	16s-rRNA	16S	1554	4	1553	14	1564						
assembly	plasmid	AC082		5 length=51686 depth=5.03x circular=true	51686	0.5547730526641643	c31f491447fa2053491761785df64a1a	00121	KY270855	ISPsy36	IS1182	8085	3001	4845	9781	11625	1845	minus	23.0	95.014	0.0	2898
assembly	plasmid	AC082		5 length=51686 depth=5.03x circular=true	51686	0.5547730526641643	c31f491447fa2053491761785df64a1a	01401	CP020856.1	integron_1	54341-61745	7405	4113	5668	12600	14155	1556	minus	21.0	100.0	0.0	2874
assembly	plasmid	AC082		5 length=51686 depth=5.03x circular=true	51686	0.5547730526641643	c31f491447fa2053491761785df64a1a	00121	KY270855	ISPsy36	IS1182	8085	1756	3014	21880	23141	1262	plus	16.0	99.604	0.0	2300
assembly	plasmid	AC082		5 length=51686 depth=5.03x circular=true	51686	0.5547730526641643	c31f491447fa2053491761785df64a1a	00121	KY270855	ISPsy36	IS1182	8085	3855	5180	24040	25365	1326	plus	16.0	99.84899999999999	0.0	2438
assembly	plasmid	AC082		5 length=51686 depth=5.03x circular=true	51686	0.5547730526641643	c31f491447fa2053491761785df64a1a	00121	KY270855	ISPsy36	IS1182	8085	4047	5848	29589	31390	1802	plus	22.0	100.0	0.0	3328
assembly	plasmid	AC082		5 length=51686 depth=5.03x circular=true	51686	0.5547730526641643	c31f491447fa2053491761785df64a1a	00121	KY270855	ISPsy36	IS1182	8085	5846	8085	31871	34110	2240	plus	28.0	100.0	0.0	4137
assembly	plasmid	AC864	AM219	6 length=40918 depth=1.65x circular=true	40918	0.3621144728481353	3937f3719fbab47dc60e7df553f79158	01263	MG053108	ISAeme2	ISAs1	6172	1698	6172	24803	29276	4476	minus	73.0	98.28	0.0	7836
